BlockName(eg:OML150),CompanyName,Lease_Type,Date_Of_Award(eg:yyyy/MM/dd)
OPL230,MONI PULO LIMITED,,
OPL230,MONI PULO LIMITED,,
OPL230,MONI PULO LIMITED,,
OPL237,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL238,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL246,TOTAL UPSTREAM NIGERIA,,
OPL246,SOUTH ATLANTIC PETROLEUM LIMITED,,
OPL246,SOUTH ATLANTIC PETROLEUM LIMITED,,
OML143,STERLING ENERGY & EXPLORATION PRODUCTION LTD,,
OML113,YINKA FOLAWIYO PETROLEUM COMPANY LTD.,,
OML125,NIGERIAN AGIP EXPLORATION,,
OPL316,MOBIL PRODUCING NIGERIA UNLIMITED,,
OPL33A,TENNECO,,
OPL33A,TENNECO,,
OPL33A,TENNECO,,
OPL33B,TENNECO,,
OPL33B,TENNECO,,
OPL35A,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL35A,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL35B,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL35B,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL35B,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL35C,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL35C,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL38,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL39,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL40,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL41,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL418,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL418,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL418,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL418,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL418,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL419,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL419,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL419,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL422,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL422,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL422,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL422,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL422,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL422,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL422,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL422,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL444,NIGERIAN AGIP OIL COMPANY LIMITED,,
OPL447,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL447,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL447,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL447,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL448,NIGERIAN AGIP OIL COMPANY LIMITED,,
OPL449,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL449,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL449,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
