Well_Name,WellType_Name,WellClass_Name,Total_Dept,SPud_Date,Remarks,Production Completed
NDA-2,Not Applicable,ORD APP,3220,Dec 09/05,,
NDA-3H,Oil Producer,DEV,,May 12/06,,
NDA-4H,Oil Producer,DEV,3046,Apr 08/06,,
NDA-5H,Oil Producer,DEV,,May 13/06,,
NDA-6PH,Oil Producer,DEV,2884,Apr 12/06,,
NDA-7P,Oil Producer,DEV,,Jun 27/08,,
NDELE-1,Not Applicable,EXP,3290.3,Feb 25/64,,
NDIBE-1,Not Applicable,EXP,3673,Oct 29/96,,
NDIYA-1,Not Applicable,EXP,2509,Oct 06/91,,
NDONI CREEK-1,Not Applicable,EXP,3359,Oct 16/75,,
NDURI-1,Not Applicable,EXP,2920.6,Mar 25/73,,
NEDUM-1,Not Applicable,EXP,2584,Sep 27/98,,
NEDUM-2 (1ST1),Not Applicable,EXP,2410,Oct 15/98,,
NEMBE 75 (EX WALTERKIRI SOUTH 1X),Not Applicable,ORD APP,"14,053ft",15/04/2013,,
NEMBE CREEK EAST-1,Not Applicable,EXP,3967,Jun 06/77,,
NEMBE CREEK-061ST,Oil Producer,DEV,3058.66,30.08.2012,,
NEMBE CREEK-067,Oil Producer,DEV,3453,03.08.2011,,
NEMBE CREEK-068,Oil Producer,DEV,3191,19.09.2011,,
NEMBE CREEK-069,Oil Producer,DEV,3345,25.11.2011,,
NEMBE CREEK-070,Oil Producer,DEV,,22.12.2011,,
NEMBE CREEK-071,Oil Producer,DEV,3200,12.02.2012,,
NEMBE CREEK-072,Oil Producer,DEV,2492,01.04.2012,,
NEMBE CREEK-073,Oil Producer,DEV,2896,02.06.2012,,
NEMBE CREEK-074,Oil Producer,DEV,3066.28,09.07.2012,,
NEMBE CREEK-1,Not Applicable,EXP,4114.8,Aug 19/73,,
NEMBE CREEK-10,Oil Producer,DEV,3658,Jun 19/76,,
NEMBE CREEK-10ST1,Oil Producer,DEV,3000,Aug 16/01,,
NEMBE CREEK-11,Oil Producer,DEV,2377,Jun 21/76,,
NEMBE CREEK-12,Oil Producer,DEV,2377,Jun 29/76,,
NEMBE CREEK-13,Oil Producer,DEV,2493,Jul 09/76,,
NEMBE CREEK-14,Oil Producer,DEV,3505,Jul 13/76,,
NEMBE CREEK-15,Oil Producer,DEV,2499,Jul 19/76,,
NEMBE CREEK-16,Oil Producer,DEV,2371,Jul 30/76,,
NEMBE CREEK-17,Not Applicable,ORD APP,3200,Aug 07/76,,
NEMBE CREEK-18,Not Applicable,ORD APP,2835,Aug 24/76,,
NEMBE CREEK-19,Oil Producer,DEV,2371,Sep 03/76,,
NEMBE CREEK-2,Not Applicable,ORD APP,3937,Jan 13/75,,
NEMBE CREEK-20,Oil Producer,DEV,2876,Jan 07/77,,
NEMBE CREEK-21,Oil Producer,DEV,3022,Jan 23/77,,
NEMBE CREEK-22,Oil Producer,DEV,2883,Feb 10/77,,
NEMBE CREEK-23,Oil Producer,DEV,2904,Feb 20/77,,
NEMBE CREEK-23ST1,Oil Producer,DEV,2904,Sep 24/01,,
NEMBE CREEK-24,Oil Producer,DEV,2809,Mar 01/77,,
NEMBE CREEK-25,Oil Producer,DEV,2835,Mar 14/77,,
NEMBE CREEK-26,Oil Producer,DEV,3210,Mar 24/77,,
NEMBE CREEK-27,Oil Producer,DEV,2548,Apr 09/77,,
NEMBE CREEK-28,Not Applicable,ORD APP,3469,Apr 20/77,,
NEMBE CREEK-29,Not Applicable,ORD APP,3120,Jul 02/77,,
NEMBE CREEK-3,Not Applicable,ORD APP,4078,Feb 15/75,,
NEMBE CREEK-30,Oil Producer,DEV,4267,Apr 14/79,,
NEMBE CREEK-31,Oil Producer,DEV,2789,Jun 21/79,,
NEMBE CREEK-32,Not Applicable,ORD APP,2548,Jul 12/79,,
NEMBE CREEK-33,Not Applicable,ORD APP,2548,Aug 04/79,,
NEMBE CREEK-34,Oil Producer,DEV,2877,Sep 26/79,,
NEMBE CREEK-35,Oil Producer,DEV,2874,Oct 25/79,,
NEMBE CREEK-36,Oil Producer,DEV,2911,Dec 24/79,,
NEMBE CREEK-37,Oil Producer,DEV,2545,Jan 14/80,,
NEMBE CREEK-38,Oil Producer,DEV,3231,Jan 28/80,,
NEMBE CREEK-39,Oil Producer,DEV,2900,Feb 23/80,,
NEMBE CREEK-4,Oil Producer,DEV,3658,Apr 07/75,,
NEMBE CREEK-40,Not Applicable,ORD APP,3429,May 28/81,,
NEMBE CREEK-41,Not Applicable,ORD APP,3620,Sep 04/81,,
NEMBE CREEK-42,Not Applicable,ORD APP,3621,Nov 19/81,,
NEMBE CREEK-43,Oil Producer,DEV,3581,Nov 24/81,,
NEMBE CREEK-43ST1,Oil Producer,DEV,2827.9,May 16/02,,
NEMBE CREEK-43ST2,Oil Producer,DEV,3305.9,,,
NEMBE CREEK-44,Oil Producer,DEV,3082,Jan 31/82,,
NEMBE CREEK-45,Oil Producer,DEV,3658,Mar 25/82,,
NEMBE CREEK-46,Not Applicable,ORD APP,3018,Jun 01/83,,
NEMBE CREEK-47,Oil Producer,DEV,2911,Jun 26/83,,
NEMBE CREEK-48,Oil Producer,DEV,2554,Jul 15/83,,
NEMBE CREEK-49,Oil Producer,DEV,2889,May 25/87,,
NEMBE CREEK-5,Not Applicable,ORD APP,4023,Sep 06/75,,
NEMBE CREEK-50,Oil Producer,DEV,2895,Mar 18/89,,
NEMBE CREEK-51,Oil Producer,DEV,3099,May 09/89,,
NEMBE CREEK-52,Not Applicable,ORD APP,3718,Jun 27/90,,
NEMBE CREEK-53,Oil Producer,DEV,3202,Aug 11/90,,
NEMBE CREEK-54,Oil Producer,DEV,4486,Sep 28/90,,
NEMBE CREEK-55,Oil Producer,DEV,3087,Mar 12/91,,
NEMBE CREEK-56,Oil Producer,DEV,3270,Apr 06/91,,
NEMBE CREEK-57,Oil Producer,DEV,2365,Jun 01/91,,
NEMBE CREEK-58,Oil Producer,DEV,2651,Jun 18/91,,
NEMBE CREEK-59,Oil Producer,DEV,2463,Aug 29/91,,
NEMBE CREEK-6,Not Applicable,ORD APP,3505,Dec 15/75,,
NEMBE CREEK-60,Oil Producer,DEV,2418,Feb 01/92,,
NEMBE CREEK-61,Not Applicable,ORD APP,3678,Feb 05/92,,
NEMBE CREEK-62,Oil Producer,DEV,2408,Apr 20/94,,
NEMBE CREEK-63,Oil Producer,DEV,2855,May 19/01,,
NEMBE CREEK-64,Oil Producer,DEV,3214,Jul 09/01,,
NEMBE CREEK-65 (EX. WALTERKIRI-1),Not Applicable,ORD APP,5121,Dec 22/01,,
NEMBE CREEK-66,Oil Producer,DEV,,Aug 14/02,,
NEMBE CREEK-7,Oil Producer,DEV,3612,May 07/76,,
NEMBE CREEK-8,Oil Producer,DEV,3353,Jun 02/76,,
NEMBE CREEK-9,Oil Producer,DEV,3359,Jun 03/76,,
NEMOMAI-1,Not Applicable,EXP,3426,Aug 10/86,,
NGAMA EAST-1,Not Applicable,EXP,3260,Oct 02/89,,
NGBOKO-1,Not Applicable,EXP,2761.2,May 28/64,,
NGBOKO-2,Not Applicable,ORD APP,2731,Nov 30/66,,
NGBOKO-3,Not Applicable,ORD APP,2895.6,Dec 16/66,,
NGO-1,Not Applicable,EXP,3618,Jan 21/73,,
NGO-2,Not Applicable,ORD APP,3505,Jan 14/75,,
NGOLO-1,Not Applicable,EXP,3024.2,Oct 31/96,,
NGOLO-1ST1,Not Applicable,EXP,3413.8,Jan 11/96,,
NGOLO-2,Not Applicable,ORD APP,4452,Feb 21/98,,
NGOR NORTH-1,Not Applicable,EXP,3399,Feb 26/90,,
NGWA-1,Not Applicable,EXP,2690.8,Oct 25/59,,
NIKOROGBA-1,Not Applicable,EXP,2356,Apr 03/79,,
NIKOROGBA-1ST1,Not Applicable,EXP,3903,Jul 01/79,,
NIKOROGBA-1ST2,Not Applicable,EXP,3800,Sep 01/79,,
