Field_Name,Block_Name,Zone_Name
OSIAMA-CREEK SOUTH,OML 63,
OSIOKA,OML 30,
OSIOKA SOUTH,OML65,
OSO,OML 70,
OSO SHALLOW,OML 70,
OSOSO,OML 31,
OSSIOMO,OML98,
OSSU, OML 124,
OSUOPELE ,OML 35,
OSUOPELE SOUTH WEST,OML 46,
OTAKIKPO,OML 11,
OTAMINI,OML 17,
OTIEN,OML 142,
OTUMARA,OML 43,
OTUO NORTH,OML 59,
OTUO SOUTH,OML 59,
OVADE,OML 98,
OVHOR,OML 38,
OVIA,OML 96,
OVO,OML 26,
OWE (UNMAPPED),OML 98,
OWEH,OML 30,
OWOPELE,OML 65,
OWOPELE NORTH,OML 65,
OWOWO SOUTH 'B',OPL 223,
OYO,OML 120,
OYOT,OML 70,
OZA,OML 11,
OZIENGBE SOUTH,OML 111,
OZORO,OML 26,
PARABE,OML 95,
PEGI,OML 104,
PENNINGTON,OML 88,
PIRIGBENE,OML 63,
PIRIGBENE SE,OML 63,
POLOGBENE,OML 274,
PROWEI,OML 130,
QUA IBOE,OML 13,
RAMOS RIVER ,OML 46,
RAMOS RIVER EAST,OML 46,
RAPELE,OML 42,
ROBERTKIRI,OML 55,
RUMUEKPE,OML 22,
RUTA,OML 95,
SAGHARA,OML 43,
SAMABRI,OML 61,
SAMABRI EAST,OML 61,
SANGAMATORO,OML 23,
SANTA BARBARA,OML 29,
SANTA BARBARA SOUTH,OML 29,
SAPELE,OML 41,
SEA LION WEST,OML 141,
SEHKI,OML 129,
SEIBOU,OML 32,
SENGANA,OML 86,
SETU,OML 112 /OML 117,
SHANGO,OML 95,
SHOKOLOKO,OML137,
SOKU,OML 23,
SONAM,OML 91,
STUBB CREEK,OML 13 / OML 14,
TABANGH,OML 11,
TAI,OML 11,
TAMBO,OML 35,
TAPA,OML 95,
TAYLOR CREEK,OML 61,
TEBIDABA,OML 63,
TEEBA,OML 11,
TEMA,OML 23,
TIBO,OML 43,
TOM SHOT BANK,OML 14,
TONJOR,OML 274,
TORIYE,OML 137,
TSEKELEWU,OML 40,
TUBU,OML 52,
TUNU,OML 46,
TUOMO,OML 62,
TUOMO W,OML 62,
UBALEME,OML 41,
UBEFAN,OML 42,
UBETA,OML 58,
UBIE,OML 22,
UBIMA,OML 17,
UBIT,OML 67,
UBOHO,OML 100,
UDA,OML 14,
UDARA,OML 70,
UDELE EAST,OML 126 / OML 137,
UDELE MAIN,OML 137,
UDELE SOUTH WEST,OML 137,
UDELE WEST,OML 126 / OML 137,
UDEME,OML100,
UDIANA / MZ,OML102,
UDIBE,OML70,
UDUERE,OML35,
UFAN,OML 104,
UFENI,OML 67,
UGADA,OML 20,
UGBO,OML 40,
UGHELLI EAST,OML 34,
UGHELLI WEST,OML 34,
UKEK,OML 70,
UKOT,OML 222,
UKPAM,OML123,
UKPEME,OML 102,
UKPICHI,OML 16,
UKPOKITI,OML 108,
UMUANWA,OML 17,
UMUECHEM,OML 17,
UMUORU,OML 61,
UMUSADEGE,OML 56,
UMUSETI,OML 56,
UNAM,OML 67,
UQUO,OML 13,
URHURE,OML 30,
USAN CORE,OML 138,
USAN WEST,OML 138,
USARI,OML 70,
USARI EE,OML 70,
USIERE,OPL 097,
USORO,OML 100,
UTAI,OML 70,
UTAPATE,OML 13,
