146,ADANGA SOUTH-4H,Oil Producer,2618,,1208,0,Feb/25/2003,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
147,ADANGA SOUTH-4HST1,Oil Producer,3032,,1208,0,Mar/15/2003,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
148,ADANGA SOUTH-5H,Oil Producer,2836,,1208,0,Feb/28/2003,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
149,ADANGA SOUTH-5HST1,Oil Producer,3271,,1208,0,Mar/25/2003,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
150,ADANGA SOUTH-6HST1,Oil Producer,2863,,1208,0,Apr/20/2003,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
151,ADANGA SOUTH-6HST2,Oil Producer,2780,,1208,0,Apr/30/2003,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
152,ADANGA SOUTH-6HST3,Oil Producer,2984,,1208,0,May/15/2003,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
153,ADANGA SOUTH-6PH,Oil Producer,2246,,1208,0,Mar/04/2003,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
154,ADANGA SOUTH-7H,Oil Producer,3500,,1208,0,Jun/27/2004,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
155,ADANGA SOUTH-7HST1,Oil Producer,3536,,1208,0,Aug/25/2004,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
156,ADANGA SOUTH-8H,Oil Producer,3500,,1208,0,Jul/01/2004,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
157,ADANGA SOUTHWEST-1,Not Applicable,2807,,970,0,Feb/05/1996,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
158,ADANGA SOUTHWEST-18H,Oil Producer,3109,,970,0,Jul/06/2008,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
159,ADANGA SOUTHWEST-2H,Oil Producer,3134,,970,0,Mar/02/2001,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
160,ADANGA SOUTHWEST-3H,Oil Producer,2688,,970,0,Sep/17/2001,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
161,ADANGA SOUTHWEST-4H,Oil Producer,2868,,970,0,Oct/17/2001,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
162,ADANGA SOUTHWEST-4PH1,Oil Producer,2512,,970,0,Oct/25/2001,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
163,ADANGA SOUTHWEST-4ST1,Oil Producer,2999,,970,0,Nov/02/2001,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
164,ADANGA SOUTHWEST-4ST2,Oil Producer,2701,,970,0,Nov/10/2001,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
165,ADANGA SOUTHWEST-4ST3,Oil Producer,2330,,970,0,Nov/18/2001,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
166,ADANGA SOUTH-WIJ-1,Water Injector,2337,,1208,0,Dec/25/2002,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
